SlideNumber,Region,ID,Age,Depth_bins,R1,MBP,MAP2,DAPI,BCAS1,depth,,,
403 / 403 / 405 / 403,Calc,3,108,60 — 70,1.2871806,77.900822,10.6585,40.28028889,,70,,,
403 / 403 / 405 / 403,Calc,3,108,70 — 80,1.527275,70.841427,15.050583,37.53922222,,80,,,
403 / 403 / 405 / 403,Calc,3,108,80 — 90,1.7781782,57.374011,12.9737,30.08265333,,90,,,
403 / 403 / 405 / 403,Calc,3,108,90 — 100,2.0940258,68.368967,10.4201,22.02887778,,100,,,
37 / 37 / 37 / 33,Calc,4,300,0 — 10,1.3740167,34.272378,30.923778,6.612085714,,10,,,
37 / 37 / 37 / 33,Calc,4,300,10 — 20,1.531473,10.799889,22.657636,11.0958,,20,,,
37 / 37 / 37 / 33,Calc,4,300,20 — 30,1.6553508,11.100222,18.385455,11.72721429,,30,,,
37 / 37 / 37 / 33,Calc,4,300,30 — 40,1.7840076,19.647778,14.115167,10.3632,,40,,,
37 / 37 / 37 / 33,Calc,4,300,40 — 50,1.9492889,24.836022,9.2831818,11.7775,,50,,,
37 / 37 / 37 / 33,Calc,4,300,50 — 60,2.1056911,41.908889,9.0724545,15.28411429,,60,,,
37 / 37 / 37 / 33,Calc,4,300,60 — 70,2.222248,58.376778,10.073909,13.48311429,,70,,,
37 / 37 / 37 / 33,Calc,4,300,70 — 80,2.2932567,58.038833,13.699083,13.74025,,80,,,
37 / 37 / 37 / 33,Calc,4,300,80 — 90,2.305709,46.528289,14.655818,16.03554286,,90,,,
37 / 37 / 37 / 33,Calc,4,300,90 — 100,2.3185066,46.427722,17.959273,11.67746429,,100,,,
65 / 51/ 86 / 51,Calc,4,300,0 — 10,1.2417554,30.568576,29.603,8.5816,,10,,,
65 / 51/ 86 / 51,Calc,4,300,10 — 20,1.3750196,8.5267059,17.5058,12.33065714,,20,,,
65 / 51/ 86 / 51,Calc,4,300,20 — 30,1.4483206,13.3682,14.606,12.54014286,,30,,,
65 / 51/ 86 / 51,Calc,4,300,30 — 40,1.6478596,19.010794,10.0852,10.00077143,,40,,,
65 / 51/ 86 / 51,Calc,4,300,40 — 50,1.7962358,36.608012,8.487,14.47335714,,50,,,
65 / 51/ 86 / 51,Calc,4,300,50 — 60,1.9850413,48.333838,8.7536667,13.93777143,,60,,,
65 / 51/ 86 / 51,Calc,4,300,60 — 70,2.2078569,58.143588,13.1302,12.11402857,,70,,,
65 / 51/ 86 / 51,Calc,4,300,70 — 80,2.2814676,65.785691,12.1996,17.50010714,,80,,,
65 / 51/ 86 / 51,Calc,4,300,80 — 90,2.3719278,60.024259,14.459,14.1188,,90,,,
65 / 51/ 86 / 51,Calc,4,300,90 — 100,2.3873581,50.380309,17.3846,10.29642857,,100,,,
142 / 142 / 120 /168,Calc,4,300,0 — 10,2.0212698,39.581948,11.104667,8.724630952,,10,,,
142 / 142 / 120 /168,Calc,4,300,10 — 20,2.0133584,30.191045,12.3738,6.542690476,,20,,,
142 / 142 / 120 /168,Calc,4,300,20 — 30,2.1459773,18.03753,8.365,6.036342857,,30,,,
142 / 142 / 120 /168,Calc,4,300,30 — 40,2.2655813,14.261439,6.581,8.622190476,,40,,,
142 / 142 / 120 /168,Calc,4,300,40 — 50,2.3473178,25.870394,6.0368,6.779257143,,50,,,
142 / 142 / 120 /168,Calc,4,300,50 — 60,2.3986831,38.479879,6.2654,8.803571429,,60,,,
142 / 142 / 120 /168,Calc,4,300,60 — 70,2.2717163,54.118394,7.8416,12.39081429,,70,,,
142 / 142 / 120 /168,Calc,4,300,70 — 80,2.1143555,48.258667,12.4134,10.64835714,,80,,,
142 / 142 / 120 /168,Calc,4,300,80 — 90,1.9894222,33.03647,11.0616,14.97104286,,90,,,
142 / 142 / 120 /168,Calc,4,300,90 — 100,1.8254123,29.774136,10.9144,9.890892857,,100,,,
201/ 191 / 201 / 191,CoS,1,1.5,0 — 10,0.5628253,,22.0245,,0.012,10,,,
201/ 191 / 201 / 191,CoS,1,1.5,10 — 20,0.583977,,33.6815,,0.020066667,20,,,
201/ 191 / 201 / 191,CoS,1,1.5,20 — 30,0.617616,,29.2985,,0.005666667,30,,,
201/ 191 / 201 / 191,CoS,1,1.5,30 — 40,0.6000025,,22.922,,0,40,,,
201/ 191 / 201 / 191,CoS,1,1.5,40 — 50,0.5782479,,22.667,,0,50,,,
201/ 191 / 201 / 191,CoS,1,1.5,50 — 60,0.5401871,,19.574,,0.174866667,60,,,
201/ 191 / 201 / 191,CoS,1,1.5,60 — 70,0.5361469,,14.946,,0.0044,70,,,
201/ 191 / 201 / 191,CoS,1,1.5,70 — 80,0.5300738,,10.731,,0,80,,,
201/ 191 / 201 / 191,CoS,1,1.5,80 — 90,0.5234005,,15.8875,,0.036,90,,,
201/ 191 / 201 / 191,CoS,1,1.5,90 — 100,0.4887992,,9.84,,0.077733333,100,,,
247/ 257 / 247 / 257,CoS,1,1.5,0 — 10,0.5304241,0.4631333,12.82475,,,10,,,
247/ 257 / 247 / 257,CoS,1,1.5,10 — 20,0.5031247,0.2713333,11.39275,,,20,,,
247/ 257 / 247 / 257,CoS,1,1.5,20 — 30,0.5038235,0.0836667,11.451667,,,30,,,
247/ 257 / 247 / 257,CoS,1,1.5,30 — 40,0.508581,0.0144667,11.51125,,,40,,,
247/ 257 / 247 / 257,CoS,1,1.5,40 — 50,0.4982759,0.0151333,19.58725,,,50,,,
247/ 257 / 247 / 257,CoS,1,1.5,50 — 60,0.4952009,0.146,15.637,,,60,,,
247/ 257 / 247 / 257,CoS,1,1.5,60 — 70,0.4996327,0.0499333,20.856,,,70,,,
247/ 257 / 247 / 257,CoS,1,1.5,70 — 80,0.496336,0.1309333,21.1405,,,80,,,
