ImageID,MBP_coverage,Slide_number,Layer,Age,Age_group,,,
MAX_A15-76_0mo_Slide313_DAPI_MAP2-594_MBP-647_CoS-1.tif,0,313,CoS,0,1_0-1.5mo,a_0-1.5,,
crop_MAX_A15-76_0mo_Slide315_DAPI_MAP2-594_MBP-647_CoS-1.tif,0,315,CoS,0,1_0-1.5mo,a_0-1.5,,
crop_MAX_A15-16_0.44months_Slide107_DAPI-405_Olig2-488_MBP-594_Fe-647_Cos-1.tif,0.0008514,107,CoS,1,1_0-1.5mo,a_0-1.5,,
crop_MAX_A15-16_0.44mo_Slide178_DAPI-405_Iba1-488_MBP-594_Fe-647_Cos-1.tif,0,178,CoS,1,1_0-1.5mo,a_0-1.5,,
crop_MAX_09277024_1.5mo_LH_Slide257_DAPI_MBP-594_BCAS1-647_CoS-1.tif,0.15,257,CoS,1.5,1_0-1.5mo,a_0-1.5,,
crop_MAX_A19-122_4mo_Slide123_DAPI-MBP-BCAS1_Cos-1.tif,0,123,CoS,4,2_4-6mo,b_4-6,,
crop_MAX_A19-122_4months_Slide154_DAPI_MBP-594_BCAS1-647_Cos-2.tif,0.016,154,CoS,4,2_4-6mo,b_4-6,,
crop_MAX_A19-122_4mo_Slide172_DAPI-MBP-BCAS1_Cos-1.tif,0,172,CoS,4,2_4-6mo,b_4-6,,
crop_MAX_A19-122_4months_Slide199_DAPI_MAP2-488_MBP-594_BCAS1-647_Cos-1.tif,0,199,CoS,4,2_4-6mo,b_4-6,,
crop_MAX_A19-122_4months_Slide101_DAPI_MAP2-488_MBP-594_BCAS1-647_Cos-1.tif,0,4mo_101,CoS,4,2_4-6mo,b_4-6,,
crop_MAX_A22-97_5mo_Slide77_DAPI-405_Olig2-488_MBP-594_Fe-647_Cos-1.tif,0.72,77,CoS,5,2_4-6mo,b_4-6,,
manual_MAX_A22-97-RH-5m-101-DAPI-IBA1-MBP-BCAS1-40X-Strip-CoS001-1-1-1.tif,0,101,CoS,5,2_4-6mo,b_4-6,,
MAX_A22-97-RH-5m-135-DAPI-IBA1-MBP-BCAS1-40X-StripCoS-1-1.tif,2.422,135,CoS,5,2_4-6mo,b_4-6,,
crop_MAX_A22-97_5mo_Slide137_DAPI-405_PV-488_MBP-594_BCAS1-647_Cos-1.tif,1.034,137,CoS,5,2_4-6mo,b_4-6,,
crop_MAX_A22-97_5mo_Slide145_DAPI-405_Iba1-488_MBP-594_Fe-647_Cos-1.tif,0.013,145,CoS,5,2_4-6mo,b_4-6,,
MAX_A22-97_5mo_LH_Slide181_DAPI_NeuN-488_MAP2-594_MBP-647_CoS-1.tif,0.633,181,CoS,5,2_4-6mo,b_4-6,,
MAX_A22-97-RH-5m-185-DAPI-IBA1-MBP-BCAS1-40X-StripCoS-1-1.tif,3.524,185,CoS,5,2_4-6mo,b_4-6,,
crop_MAX_A22-97_5mo_Slide122_DAPI-405_Iba1-488_MBP-594_Fe-647_Cos-1.tif,1.618,5mo_122,CoS,5,2_4-6mo,b_4-6,,
crop_MAX_A20-21_Slide73_DAPI-405_PV-488_MBP-594_BCAS1-647_Cos-1.tif,1.056,73,CoS,6,2_4-6mo,b_4-6,,
MAX_A20-21_6mo_Slide86_DAPI_NeuN-488_MAP2-594_MBP-647_CoS-1.tif,0.041,86,CoS,6,2_4-6mo,b_4-6,,
crop_MAX_A20-21_3mo_Slide118_DAPI-405_PV-488_MBP-594_BCAS1-647_Cos-1.tif,0.025,118,CoS,6,2_4-6mo,b_4-6,,
crop_MAX_A20-21_3mo_Slide151_DAPI-405_Olig2-488_MBP-594_Fe-647_Cos-1.tif,0.0001563,151,CoS,6,2_4-6mo,b_4-6,,
crop_MAX_A20-21_27gw6mo_Slide150_DAPI-405_PV-488_MBP-594_BCAS1-647_Cos-1.tif,0.004,6mo_150,CoS,6,2_4-6mo,b_4-6,,
crop_MAX_A14-33_2yo_BlockA2_slide75_DAPI_PV-488_MBP-594_BCAS1-647_Cos-1.tif,0.08,75,CoS,24,3_2yrs,d_2yr,,
crop_MAX_A14-33_2yo_BlockA2_Slide241_DAPI-Olig2-488_MBP-594_BCAS1-647_Cos-1.tif,0.000301,241,CoS,24,3_2yrs,d_2yr,,
crop_MAX_A14-33_2yo_BlockA2_Slide273_DAPI-MAP2-488_MBP-594_BCAS1-647_Cos-1.tif,0,273,CoS,24,3_2yrs,d_2yr,,
MAX_A15-76_39gw_Slide284_DAPI-405_PV-488_MBP-594_BCAS1-647_Fus-1.tif,0,284,FG,0,1_0-1.5mo,a_0-1.5,,
MAX_A15-76_0mo_Slide313_DAPI_MAP2-594_MBP-647_FG.czi - A15-76_0mo_Slide313_DAPI_MAP2-594_MBP-647_FG.czi #1-1.tif,0,313,FG,0,1_0-1.5mo,a_0-1.5,,
crop_MAX_A15-76_0mo_Slide315_DAPI_MAP2-594_MBP-647_FG-1.tif,0,315,FG,0,1_0-1.5mo,a_0-1.5,,
crop_MAX_A15-16_0.44mo_Slide178_DAPI-405_Iba1-488_MBP-594_Fe-647_Fus-1.tif,0,178,FG,1,1_0-1.5mo,a_0-1.5,,
MAX_09277024_1.5mo_LH_Slide150_DAPI_MBP-594_BCAS1-647_Fus-1.tif,0,150,FG,1.5,1_0-1.5mo,a_0-1.5,,
MAX_09277024_1.5mo_LH_Slide191_DAPI_MBP-594_BCAS1-647_MFS-1.tif,0,191,FG,1.5,1_0-1.5mo,a_0-1.5,,
crop_MAX_A19-122_4mo_Slide123_DAPI-MBP-BCAS1_MFS-1.tif,0.074,123,FG,4,2_4-6mo,b_4-6,,
crop_MAX_A19-122_4mo_Slide172_DAPI-MBP-BCAS1_MFS-1.tif,0.001,172,FG,4,2_4-6mo,b_4-6,,
crop_MAX_A19-122_4months_Slide101_DAPI_MAP2-488_MBP-594_BCAS1-647_FG.tif,0.004,4mo_101,FG,4,2_4-6mo,b_4-6,,
