ImageID,MAP2_coverage,Region,Age,Age_group,Slide_number
soma-removed_MAX_A22-49_9yo_LH_Slide391_MAP2-594_Calc_40x+no-averaging.czi - A22-49_9yo_LH_Slide391_MAP2-594_Calc_40x+no-averaging.czi #1-1.tif,26.667,Calc,108,e_9yo,9yr_LH_391
soma-removed_MAX_A22-49_9yo_LH_Slide391_MAP2-594_CoS_40x-no-averaging.czi - A22-49_9yo_LH_Slide391_MAP2-594_CoS_40x-no-averaging.czi #1-1-1.tif,21.94,CoS,108,e_9yo,9yr_LH_391
soma-removed_crop_MAX_A22-49_9yo_LH_Slide405_MAP2-594_FG_40x-1.tif,11.873,FG,108,e_9yo,9yr_LH_405
soma-removed_MAX_A22-49_9yo_LH_Slide405_MAP2-594_CoS_40x-1.tif,6.249,Calc,108,e_9yo,9yr_LH_405
soma-removed_MAX_A22-49_9yo_LH_Slide405_MAP2-594_Calc_40x-1.tif,8.568,Calc,108,e_9yo,9yr_LH_405
soma-removed_MAX_A22-42_25yo_Slide33_MAP2-488_Calc_40x.czi - A22-42_25yo_Slide33_MAP2-488_Calc_40x.czi #1-2.tif,19.569,Calc,300,f_25yo,25yo_6A_33
soma-removed_cleaned_crop_MAX_A22-42_25yo_Slide86_MAP2-594_Calc_40x.czi - A22-42_25yo_Slide86_MAP2-594_Calc_40x.czi #1-1-1.tif,13.707,Calc,300,f_25yo,25yo_6A_86
soma-removed_cleaned_crop_MAX_A22-42_25yo_Slide120_MAP2-594_Calc_high-res.czi - A22-42_25yo_Slide120_MAP2-594_Calc_high-res.czi #1-1-1.tif,11.698,Calc,300,f_25yo,25yo_6A_120
soma-removed_0.7blur_MAX_A22-42_25yo_Slide138_MAP2-488_Cos_40x-no-averaging-1.tif,18.235,CoS,300,f_25yo,25yo_4B_138
soma-removed_crop_0.7blur_MAX_A22-42_25yo_Slide138_MAP2-488_FG_40x-no-averaging-1.tif,25.623,FG,300,f_25yo,25yo_4B_138
soma-removed_MAX_A22-42_25yo_Slide181_MAP2-594_CoS_40x.czi - A22-42_25yo_Slide181_MAP2-594_CoS_40x.czi #1-1.tif,14.441,CoS,300,f_25yo,25yo_4B_181
soma-removed_crop_MAX_A22-42_25yo_Slide181_MAP2-594_FG_40x-2.tif,18.595,FG,300,f_25yo,25yo_4B_181
soma-removed_MAX_A22-42_25yo_Slide97_MAP2-594_CoS_40x.czi - A22-42_25yo_Slide97_MAP2-594_CoS_40x.czi #1-1.tif,17.345,CoS,300,f_25yo,25yo_4B_97
soma-removed_MAX_A22-42_25yo_Slide97_MAP2-594_FG_40x.czi - A22-42_25yo_Slide97_MAP2-594_FG_40x.czi #2-1.tif,22.199,FG,300,f_25yo,25yo_4B_97
