Slide_number,BCAS1_density_mm2,Region,SampleID,Age_group,Age,morphology,,,
6mo_118,79.19700486,FG,crop_MAX_A20-21_3mo_Slide118_DAPI-405_PV-488_MBP-594_BCAS1-647_MFS.tif:cortex:4,b_4-6 mo,6,stellate,,,
6mo_150,25.72668033,Calc,crop_MAX_A20-21_3mo_Slide150_DAPI-405_PV-488_MBP-594_BCAS1-647_Calc.tif:cortex:4,b_4-6 mo,6,ensheathing,,,
6mo_150,31.78001688,Calc,crop_MAX_A20-21_3mo_Slide150_DAPI-405_PV-488_MBP-594_BCAS1-647_Calc.tif:cortex:4,b_4-6 mo,6,stellate,,,
6mo_150,12.31988965,CoS,crop_MAX_A20-21_27gw6mo_Slide150_DAPI-405_PV-488_MBP-594_BCAS1-647_Cos.tif:cortex:4,b_4-6 mo,6,ensheathing,,,
6mo_150,51.74353653,CoS,crop_MAX_A20-21_27gw6mo_Slide150_DAPI-405_PV-488_MBP-594_BCAS1-647_Cos.tif:cortex:4,b_4-6 mo,6,stellate,,,
6mo_73,16.1425852,Calc,crop_MAX_A20-21_Slide73_DAPI-405_PV-488_MBP-594_BCAS1-647_Calc.tif:cortex:2,b_4-6 mo,6,ensheathing,,,
6mo_73,18.94999133,Calc,crop_MAX_A20-21_Slide73_DAPI-405_PV-488_MBP-594_BCAS1-647_Calc.tif:cortex:2,b_4-6 mo,6,stellate,,,
6mo_73,9.03562587,CoS,crop_MAX_A20-21_Slide73_DAPI-405_PV-488_MBP-594_BCAS1-647_Cos.tif:cortex:1,b_4-6 mo,6,ensheathing,,,
6mo_73,38.72411087,CoS,crop_MAX_A20-21_Slide73_DAPI-405_PV-488_MBP-594_BCAS1-647_Cos.tif:cortex:1,b_4-6 mo,6,stellate,,,
6mo_73,26.26775566,FG,crop_MAX_A20-21_Slide73_DAPI-405_PV-488_MBP-594_BCAS1-647_MFS.tif:cortex:1,b_4-6 mo,6,ensheathing,,,
6mo_73,53.81686526,FG,crop_MAX_A20-21_Slide73_DAPI-405_PV-488_MBP-594_BCAS1-647_MFS.tif:cortex:1,b_4-6 mo,6,stellate,,,
24mo_113,7.071822777,FG,crop_MAX_A14-33_2yo_BlockA1_Slide113_DAPI-MAP2-488_MBP-594_BCAS1-647_MFS.tif:cortex:1,c_2yrs,24,ensheathing,,,
24mo_113,24.35850068,FG,crop_MAX_A14-33_2yo_BlockA1_Slide113_DAPI-MAP2-488_MBP-594_BCAS1-647_MFS.tif:cortex:1,c_2yrs,24,stellate,,,
24mo_241,5.173798003,Calc,crop_MAX_A14-33_2yo_BlockA2_Slide241_DAPI-Olig2-488_MBP-594_BCAS1-647_Calc.tif:cortex:1,c_2yrs,24,ensheathing,,,
24mo_241,10.34759601,Calc,crop_MAX_A14-33_2yo_BlockA2_Slide241_DAPI-Olig2-488_MBP-594_BCAS1-647_Calc.tif:cortex:1,c_2yrs,24,stellate,,,
24mo_241,0.616117868,CoS,crop_MAX_A14-33_2yo_BlockA2_Slide241_DAPI-Olig2-488_MBP-594_BCAS1-647_Cos.tif:cortex:1,c_2yrs,24,ensheathing,,,
24mo_241,2.464471471,CoS,crop_MAX_A14-33_2yo_BlockA2_Slide241_DAPI-Olig2-488_MBP-594_BCAS1-647_Cos.tif:cortex:1,c_2yrs,24,stellate,,,
24mo_273,5.122859031,Calc,crop_MAX_A14-33_2yo_BlockA2_Slide273_DAPI-MAP2-488_MBP-594_BCAS1-647_Calc.tif:cortex:1,c_2yrs,24,ensheathing,,,
24mo_273,8.538098385,Calc,crop_MAX_A14-33_2yo_BlockA2_Slide273_DAPI-MAP2-488_MBP-594_BCAS1-647_Calc.tif:cortex:1,c_2yrs,24,stellate,,,
24mo_273,5.771485147,CoS,crop_MAX_A14-33_2yo_BlockA2_Slide273_DAPI-MAP2-488_MBP-594_BCAS1-647_Cos.tif:cortex:1,c_2yrs,24,ensheathing,,,
24mo_273,5.771485147,CoS,crop_MAX_A14-33_2yo_BlockA2_Slide273_DAPI-MAP2-488_MBP-594_BCAS1-647_Cos.tif:cortex:1,c_2yrs,24,stellate,,,
24mo_29,5.132518577,FG,crop_MAX_A14-33_2yo_BlockA1_Slide29_DAPI_PV-488_MBP-594_BCAS1-647_MFS.tif:cortex:1,c_2yrs,24,ensheathing,,,
24mo_29,15.68269565,FG,crop_MAX_A14-33_2yo_BlockA1_Slide29_DAPI_PV-488_MBP-594_BCAS1-647_MFS.tif:cortex:1,c_2yrs,24,stellate,,,
24mo_75,5.099993022,Calc,crop_MAX_A14-33_2yo_BlockA2_slide75_DAPI_PV-488_MBP-594_BCAS1-647_Calc.tif:cortex:1,c_2yrs,24,ensheathing,,,
24mo_75,20.39997209,Calc,crop_MAX_A14-33_2yo_BlockA2_slide75_DAPI_PV-488_MBP-594_BCAS1-647_Calc.tif:cortex:1,c_2yrs,24,stellate,,,
24mo_75,2.568761939,CoS,crop_MAX_A14-33_2yo_BlockA2_slide75_DAPI_PV-488_MBP-594_BCAS1-647_Cos.tif:cortex:1,c_2yrs,24,ensheathing,,,
24mo_75,16.69695261,CoS,crop_MAX_A14-33_2yo_BlockA2_slide75_DAPI_PV-488_MBP-594_BCAS1-647_Cos.tif:cortex:1,c_2yrs,24,stellate,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,, ,
