Image_ID,Age,Measure,Coverage_percent,Layer,Cortex_v_WM
9Y-197-L4-8-Calc-1-1.tif,9 yrs,CARS,19.424,L4,Cortex
9Y-197-L4-7-Calc-1-1.tif,9 yrs,CARS,15.39,L4,Cortex
A22-49-9Y-197-DAPI-MOG-MBP-100X-Stacks-Calc.nd2 - A22-49-9Y-197-DAPI-MOG-MBP-100X-Stacks-Calc.nd2 (series 06)-1-1.tif,9 yrs,MBP,9.301,L2,Cortex
A22-49-9Y-197-DAPI-MOG-MBP-100X-Stacks-Calc.nd2 - A22-49-9Y-197-DAPI-MOG-MBP-100X-Stacks-Calc.nd2 (series 05)-1-1.tif,9 yrs,MBP,10.819,L2,Cortex
A22-49-9Y-197-DAPI-MOG-MBP-100X-Stacks-Calc.nd2 - A22-49-9Y-197-DAPI-MOG-MBP-100X-Stacks-Calc.nd2 (series 04)-1-1.tif,9 yrs,MBP,10.161,L2,Cortex
9Y-197-L2-9-Calc-1-1.tif,9 yrs,CARS,15.528,L2,Cortex
9Y-197-L2-8-Calc-1-1.tif,9 yrs,CARS,13.63,L2,Cortex
9Y-197-L2-7-Calc-1-1.tif,9 yrs,CARS,15.68,L2,Cortex
A22-49-9Y-197-DAPI-MOG-MBP-100X-Stacks-Calc.nd2 - A22-49-9Y-197-DAPI-MOG-MBP-100X-Stacks-Calc.nd2 (series 03)-1-1.tif,9 yrs,MBP,15.795,L1,Cortex
A22-49-9Y-197-DAPI-MOG-MBP-100X-Stacks-Calc.nd2 - A22-49-9Y-197-DAPI-MOG-MBP-100X-Stacks-Calc.nd2 (series 02)-1-1.tif,9 yrs,MBP,11.008,L1,Cortex
A22-49-9Y-197-DAPI-MOG-MBP-100X-Stacks-Calc.nd2 - A22-49-9Y-197-DAPI-MOG-MBP-100X-Stacks-Calc.nd2 (series 01)-1-1.tif,9 yrs,MBP,10.483,L1,Cortex
9Y-197-L1-9-Calc-1-1.tif,9 yrs,CARS,17.932,L1,Cortex
9Y-197-L1-8-Calc-1-1.tif,9 yrs,CARS,16.657,L1,Cortex
9Y-197-L1-7-Calc-1-1.tif,9 yrs,CARS,14.951,L1,Cortex
